input,expression
"[1, 2, 7, 7]",(7 * 7 - 1) / 2
"[1, 2, 9, 11]",11 * (2 + 1) - 9
"[1, 3, 4, 6]",6 / (1 - 3 / 4)
"[1, 3, 9, 10]",(10 - 1) * 3 - 9 / 3
"[1, 4, 5, 6]",4 / (1 - 5 / 6)
"[1, 4, 6, 10]",10 * (4 - 1) - 6
"[1, 4, 7, 11]",
"[1, 4, 9, 13]",(4 * 9) - 13 + 1
"[1, 5, 11, 11]",(11 * 11 - 1) / 5
"[1, 5, 5, 5]",5 * (5 - 1 / 5)
"[1, 6, 11, 13]",(13 * 11 + 1) / 6
"[1, 6, 6, 8]",6 / ( 1 - (6) / (8) )
"[1, 7, 12, 13]",12 / (13 - 7) * (13 - 1)
"[1, 7, 13, 13]",(13 * 13 - 1) / 7
"[1, 8, 12, 12]",12 / ( (12) / (8) - 1 )
"[2, 2, 10, 11]",(10 + 2) * 2 * (11 / 11)
"[2, 2, 11, 11]",(2 + 2 / 11) * 11
"[2, 2, 13, 13]",13 * (2 - 2 / 13)
"[2, 2, 3, 10]",(10 + 3) * 2 - 2
"[2, 2, 3, 5]",(5 * 2 - 2) * 3
"[2, 2, 6, 13]",(13 + 2) * 2 - 6
"[2, 2, 6, 9]",9 * 2 + 6 * 2 / 2
"[2, 2, 7, 10]",(7 * 2) + 10 * (2 / 2)
"[2, 3, 13, 13]",13 * 3 - 13 - 2
"[2, 3, 5, 12]",12 / ((3 * 2 - 5) / 2)
"[2, 3, 7, 9]",(9 + 7) * 3 / 2
"[2, 3, 8, 13]",(13 + 3) * 2 - 8
"[2, 4, 10, 10]",(10 + 10 + 4) * (2 / 2)
"[2, 4, 11, 12]",
"[2, 4, 7, 12]",
"[2, 4, 7, 7]",(7 + 7) * 2 - 4
"[2, 5, 12, 13]",(13 + 5) + (12 / 2)
"[2, 5, 5, 10]",(10 * 2) + (5 - 5/5)
"[2, 5, 6, 9]",(6 / 2) * 5 + 9
"[2, 5, 7, 8]",(2 * 5 - 7) * 8
"[2, 5, 7, 9]",5 * 7 - 9 - 2
"[2, 5, 8, 12]",
"[2, 6, 9, 9]",(9 - 9/9) * (6/2)
"[2, 7, 7, 10]",(2 + 10/7) * 7
"[2, 7, 8, 9]",(7 + 9) * 2 - 8
"[2, 9, 13, 13]",(13 + 13 - 2) * (9 / 9)
"[3, 3, 5, 7]",(3 * 5 - 7) * 3
"[3, 3, 6, 6]",(6 / 3) * (6 + 6)
"[3, 3, 7, 13]",3 * (13 - 7/3)
"[3, 3, 7, 7]",(3 + 3/7) * 7
"[3, 3, 8, 8]",8 / (3 - 8 / 3)
"[3, 4, 5, 11]",11 * 3 - (4 + 5)
"[3, 4, 6, 13]",(13 + 3) * 6 / 4
"[3, 5, 7, 13]",(13 * 5 + 7) / 3
"[3, 5, 8, 12]",5 * 8 - 12 - 12 / 3
"[3, 5, 8, 13]",3 * (13 - 5) * (8 / 8)
"[3, 6, 6, 10]",(6 - 3) * 10 - 6
"[3, 6, 6, 11]",(11 - (6 / 6)) * 3 - 6
"[3, 6, 7, 10]",(6 * 7) / 3 + 10
"[3, 7, 9, 13]",(7 - 13 / 3) * 9
"[3, 8, 10, 12]",12 * (10 - 8) * (3 / 3)
"[3, 8, 8, 10]",(8 * 10 - 8) / 3
"[3, 9, 11, 13]",(11 * 3 - 9) * (13 / 13)
"[4, 10, 10, 11]",(11 * 4) - 10 - 10
"[4, 4, 10, 10]",(10 * 10 - 4) / 4
"[4, 4, 7, 13]",(13 + 7 + 4) * (4 / 4)
"[4, 4, 7, 7]",(4 - 4/7) * 7
"[4, 5, 6, 11]",(11 + 5) / 4 * 6
"[4, 5, 6, 12]",(12 * (6 + 4 - 5)) / (6 - 5)
"[4, 5, 9, 12]",12 * 5 - 9 * 4
"[4, 6, 6, 10]",(6 + 10) * 6 / 4
"[4, 6, 7, 9]",(7 + 9) * 6 / 4
"[4, 7, 11, 13]",(13 - 7) * 4 * (11 / 11)
"[4, 7, 8, 10]",One
"[4, 7, 9, 11]",11 * (7 - 4) - 9
"[4, 8, 8, 11]",(11 * 8 + 8) / 4
"[4, 8, 8, 13]",(13 * 8 - 8) / 4
"[4, 9, 11, 11]",11 * 4 - 11 - 9
"[5, 10, 10, 11]",(11 * 10 + 10) / 5
"[5, 10, 10, 13]",(13 - (10 / 10)) * 10 / 5
"[5, 5, 7, 11]",(5 * 7 - 11) * (5 / 5)
"[5, 5, 8, 11]",5 * 8 - 11 - 5
"[5, 6, 7, 9]",(7 - 5) * 9 + 6
"[5, 6, 8, 13]",(13 + 5) / 6 * 8
"[5, 6, 9, 11]",(11 + 9) * 6 / 5
"[5, 7, 10, 11]",(11 * 7 - 5) / (10 - 7)
"[5, 7, 7, 11]",(5 - 11/7) * 7
"[5, 7, 9, 12]",12 * (7 - 5) + 9 - 9
"[5, 8, 9, 13]",9 * 5 - 13 - 8
"[5, 9, 10, 11]",5 * 9 - 11 - 10
"[6, 11, 12, 12]",(12 * (12 - 11)) * (12 / 6)
"[6, 12, 12, 13]",(12 * 12) / (13 - 6 - (12 / 12))
"[6, 6, 9, 13]",(13 - 9) * 6 * (6 / 6)
"[6, 7, 11, 11]",(11 - 6) * 7 - 11
"[6, 7, 7, 11]",(6 * (11 - 7)) * (7 / 7)
"[6, 7, 8, 12]",One
"[6, 9, 9, 10]",(10 * 9) / 6 + 9
"[7, 10, 12, 13]",(13 + 7) * 12 / 10
"[7, 8, 10, 11]",8 * ((10 + 11) / 7)
"[7, 8, 8, 13]",(13 + 8) / 7 * 8
"[7, 8, 9, 12]",(7 + 9) / 8 * 12
"[7, 9, 11, 12]",(7 + 11) * (12 / 9)
"[8, 9, 10, 12]",(10 + 8) * (12 / 9)
"[8, 9, 11, 11]",11 * (11 - 8) - 9
"[9, 11, 12, 13]",12 * (13 + 11) / (13 - 9)
